Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Template
69659.425,0.83811,17 January 2011 19:20:59.425,734520.8062,0.81207,MCWV,M4_Mainshock_S
36280.075,0.82473,17 January 2011 10:04:40.075,734520.4199,0.81207,MCWV,M4_Mainshock_S
3728.675,0.81985,17 January 2011 01:02:08.675,734520.0432,0.81207,MCWV,M4_Mainshock_S
16910.85,0.81272,17 January 2011 04:41:50.850,734520.1957,0.81207,MCWV,M4_Mainshock_S
62068.575,0.88065,18 January 2011 17:14:28.575,734521.7184,0.81979,MCWV,M4_Mainshock_S
79608.55,0.98589,20 January 2011 22:06:48.550,734523.9214,0.83098,MCWV,M4_Mainshock_S
79608.325,0.96976,20 January 2011 22:06:48.325,734523.9214,0.83098,MCWV,M4_Mainshock_S
58101.35,0.9304,20 January 2011 16:08:21.350,734523.6725,0.83098,MCWV,M4_Mainshock_S
30842.7,0.87493,20 January 2011 08:34:02.700,734523.357,0.83098,MCWV,M4_Mainshock_S
71235.525,0.86668,20 January 2011 19:47:15.525,734523.8245,0.83098,MCWV,M4_Mainshock_S
70606.025,0.83516,20 January 2011 19:36:46.025,734523.8172,0.83098,MCWV,M4_Mainshock_S
71235.75,0.83124,20 January 2011 19:47:15.750,734523.8245,0.83098,MCWV,M4_Mainshock_S
21473.4,1.0193,22 January 2011 05:57:53.400,734525.2485,0.83717,MCWV,M4_Mainshock_S
21473.175,0.91402,22 January 2011 05:57:53.175,734525.2485,0.83717,MCWV,M4_Mainshock_S
27975.175,0.8744,22 January 2011 07:46:15.175,734525.3238,0.83717,MCWV,M4_Mainshock_S
57394.9,0.86107,22 January 2011 15:56:34.900,734525.6643,0.83717,MCWV,M4_Mainshock_S
25250.025,0.85367,22 January 2011 07:00:50.025,734525.2922,0.83717,MCWV,M4_Mainshock_S
25435.875,0.84816,22 January 2011 07:03:55.875,734525.2944,0.83717,MCWV,M4_Mainshock_S
28404.075,0.84721,22 January 2011 07:53:24.075,734525.3288,0.83717,MCWV,M4_Mainshock_S
81174.725,0.84619,22 January 2011 22:32:54.725,734525.9395,0.83717,MCWV,M4_Mainshock_S
35759.025,0.82478,23 January 2011 09:55:59.025,734526.4139,0.80577,MCWV,M4_Mainshock_S
13933.025,0.817,23 January 2011 03:52:13.025,734526.1613,0.80577,MCWV,M4_Mainshock_S
39540.7,0.81068,23 January 2011 10:59:00.700,734526.4576,0.80577,MCWV,M4_Mainshock_S
81282.725,0.80692,23 January 2011 22:34:42.725,734526.9408,0.80577,MCWV,M4_Mainshock_S
61852.575,1.0452,24 January 2011 17:10:52.575,734527.7159,0.81379,MCWV,M4_Mainshock_S
30765.6,1.0039,24 January 2011 08:32:45.600,734527.3561,0.81379,MCWV,M4_Mainshock_S
30765.825,0.9545,24 January 2011 08:32:45.825,734527.3561,0.81379,MCWV,M4_Mainshock_S
30765.4,0.95139,24 January 2011 08:32:45.400,734527.3561,0.81379,MCWV,M4_Mainshock_S
61850.2,0.89334,24 January 2011 17:10:50.200,734527.7159,0.81379,MCWV,M4_Mainshock_S
24822.575,0.86101,24 January 2011 06:53:42.575,734527.2873,0.81379,MCWV,M4_Mainshock_S
25273.35,0.83101,24 January 2011 07:01:13.350,734527.2925,0.81379,MCWV,M4_Mainshock_S
15564.975,0.90446,25 January 2011 04:19:24.975,734528.1802,0.80703,MCWV,M4_Mainshock_S
15565.4,0.82405,25 January 2011 04:19:25.400,734528.1802,0.80703,MCWV,M4_Mainshock_S
42251.425,0.81598,25 January 2011 11:44:11.425,734528.489,0.80703,MCWV,M4_Mainshock_S
61441.525,0.96979,26 January 2011 17:04:01.525,734529.7111,0.82566,MCWV,M4_Mainshock_S
61441.325,0.88103,26 January 2011 17:04:01.325,734529.7111,0.82566,MCWV,M4_Mainshock_S
30311.6,0.85922,26 January 2011 08:25:11.600,734529.3508,0.82566,MCWV,M4_Mainshock_S
30312.225,0.83566,26 January 2011 08:25:12.225,734529.3508,0.82566,MCWV,M4_Mainshock_S
61441.75,0.83325,26 January 2011 17:04:01.750,734529.7111,0.82566,MCWV,M4_Mainshock_S
34384.975,0.83061,27 January 2011 09:33:04.975,734530.398,0.81743,MCWV,M4_Mainshock_S
31091.675,0.84268,28 January 2011 08:38:11.675,734531.3599,0.82966,MCWV,M4_Mainshock_S
22775.95,0.86194,29 January 2011 06:19:35.950,734532.2636,0.819,MCWV,M4_Mainshock_S
37851.8,0.88462,30 January 2011 10:30:51.800,734533.4381,0.81857,MCWV,M4_Mainshock_S
50024.275,0.82631,30 January 2011 13:53:44.275,734533.579,0.81857,MCWV,M4_Mainshock_S
81917.05,0.81955,30 January 2011 22:45:17.050,734533.9481,0.81857,MCWV,M4_Mainshock_S
62276.175,1.0846,31 January 2011 17:17:56.175,734534.7208,0.82065,MCWV,M4_Mainshock_S
30430.925,0.95048,31 January 2011 08:27:10.925,734534.3522,0.82065,MCWV,M4_Mainshock_S
